,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos
580.2,3.0828,2.76414,5.02604,18.01293,97.55205,157.04548,212.22442,152.23655,2.49292,5.93605,7.46268,13.50522,39.09766,75.68121,119.6164,129.49288,126.97446
580.4,1.53195,4.68306,2.68369,14.01293,93.57769,143.90635,217.02088,172.91759,2.72301,4.93605,10.48054,13.83265,41.23279,82.66252,130.03746,148.23162,133.11732
580.6,2.35398,3.36775,1.94495,12.61638,97.16744,143.15852,220.27752,176.17621,3.35133,3.84833,9.48054,17.83265,42.15171,88.02701,144.74798,156.92532,146.34946
580.8,3.26924,4.33171,1.82784,16.11638,114.24436,148.56722,218.7554,175.80552,5.38673,5.74307,7.82875,20.9123,41.44,92.8214,163.94974,162.69108,146.41196
581,5.34551,6.44883,3.29631,16.64224,120.74009,149.98461,233.19788,188.19345,2.9354,6.36588,8.96268,20.56717,42.28685,96.18589,172.08132,174.69108,160.69768
581.2,4.9472,6.48486,4.71072,17.21983,118.8341,159.69765,240.07398,197.15897,5.99735,6.09395,8.68589,19.27513,45.3409,102.43822,186.67781,188.0064,185.63518
581.4,4.65059,6.80018,5.60261,18.3319,111.98795,162.45417,257.36602,205.87448,4.22743,5.7957,10.97161,20.54062,48.03459,121.61579,218.59009,210.78117,193.96554
581.6,3.76924,5.24162,5.50351,16.67672,110.93667,175.76722,265.57841,227.57276,3.46637,8.05009,8.48946,22.21319,57.53009,123.41953,240.16026,231.95234,211.63518
581.8,3.9811,4.50288,4.44946,17.47845,125.25291,179.03678,268.28637,224.56414,3.79381,6.72553,11.46268,23.36363,51.60216,130.96159,268.1164,244.66405,221.79589
582,3.40483,4.8182,4.85486,17.63362,132.80846,170.69765,280.6669,238.5469,3.94425,6.02377,11.77518,23.9831,52.23279,149.45692,284.34447,262.60099,244.40304
582.2,2.48958,5.98937,5.47649,21.96121,144.05632,182.74983,286.05628,255.82276,4.10354,7.98868,12.82875,26.69106,62.01658,165.58776,311.81816,274.28568,276.92982
582.4,2.90483,6.37676,3.97198,20.75431,145.33838,200.08026,307.38372,275.57276,6.31593,8.66412,13.88232,29.22204,65.62018,181.18589,351.21289,299.03342,290.41196
582.6,2.54042,5.27766,2.52153,23.29741,148.34692,210.44548,312.03858,290.59862,6.9177,8.47114,16.00732,33.07159,75.62919,197.68121,413.23044,336.20459,305.19768
582.8,3.15059,3.67405,3.37739,22.32328,155.4153,222.94983,304.50761,302.64172,8.23628,8.78693,16.90018,34.10699,87.45802,224.79336,471.42342,383.20459,341.44768
