Filter Thickness (um),Log Fund Intensity,Log Harm Intensity,Filter Thickness (um),Best Fit (Fund),Filter Thickness (um),Best Fit (Harm)
,,,6.87067,4.23891,7.9969,4.90243
,,,6.87648,4.23485,8,4.90204
,,,6.88228,4.23079,8.00521,4.90137
,,,6.88809,4.22673,8.01351,4.9003
,,,6.89389,4.22267,8.02182,4.89924
,,,6.8997,4.21861,8.03013,4.89817
,,,6.90551,4.21455,8.03844,4.89711
,,,6.91131,4.21049,8.04675,4.89604
,,,6.91712,4.20643,8.05506,4.89498
,,,6.92292,4.20237,8.06336,4.89391
,,,6.92873,4.19831,8.07167,4.89285
,,,6.93453,4.19425,8.07998,4.89178
,,,6.94034,4.19019,8.08829,4.89071
,,,6.94615,4.18613,8.0966,4.88965
,,,6.95195,4.18207,8.1049,4.88858
,,,6.95776,4.17801,8.11321,4.88752
,,,6.96356,4.17394,8.12152,4.88645
,,,6.96937,4.16988,8.12983,4.88539
,,,6.97518,4.16582,8.13814,4.88432
,,,6.98098,4.16176,8.14645,4.88326
,,,6.98679,4.1577,8.15475,4.88219
,,,6.99259,4.15364,8.16306,4.88112
,,,6.9984,4.14958,8.17137,4.88006
,,,7,4.14846,8.17968,4.87899
,,,7.0042,4.14552,8.18799,4.87793
,,,7.01001,4.14146,8.1963,4.87686
,,,7.01582,4.1374,8.2046,4.8758
,,,7.02162,4.13334,8.21291,4.87473
,,,7.02743,4.12928,8.22122,4.87367
,,,7.03323,4.12522,8.22953,4.8726
,,,7.03904,4.12116,8.23784,4.87153
,,,7.04484,4.1171,8.24615,4.87047
,,,7.05065,4.11304,8.25445,4.8694
,,,7.05646,4.10898,8.26276,4.86834
,,,7.06226,4.10492,8.27107,4.86727
,,,7.06807,4.10086,8.27938,4.86621
,,,7.07387,4.0968,8.28769,4.86514
,,,7.07968,4.09274,8.296,4.86408
,,,7.08549,4.08868,8.3043,4.86301
,,,7.09129,4.08462,8.31261,4.86194
,,,7.0971,4.08056,8.32092,4.86088
,,,7.1029,4.0765,8.32923,4.85981
,,,7.10871,4.07244,8.33754,4.85875
,,,7.11451,4.06838,8.34585,4.85768
,,,7.12032,4.06432,8.36246,4.85555
,,,7.12613,4.06026,8.37077,4.85449
,,,7.13193,4.0562,8.37908,4.85342
,,,7.13774,4.05214,8.38739,4.85236
,,,7.14354,4.04808,8.3957,4.85129
,,,7.14935,4.04401,8.404,4.85022
,,,7.15516,4.03995,8.41231,4.84916
,,,7.16096,4.03589,8.42062,4.84809
,,,7.16677,4.03183,8.42893,4.84703
,,,7.17257,4.02777,8.43724,4.84596
,,,7.17838,4.02371,8.44555,4.8449
,,,7.18418,4.01965,8.45385,4.84383
,,,7.18999,4.01559,8.46216,4.84277
,,,7.1958,4.01153,8.47047,4.8417
,,,7.2016,4.00747,8.47878,4.84063
,,,7.20741,4.00341,8.48709,4.83957
,,,7.21321,3.99935,8.4954,4.8385
,,,7.21902,3.99529,8.5037,4.83744
,,,7.22482,3.99123,8.51201,4.83637
,,,7.23063,3.98717,8.52032,4.83531
,,,7.23644,3.98311,8.52863,4.83424
,,,7.24224,3.97905,8.53694,4.83318
,,,7.24805,3.97499,8.54525,4.83211
,,,7.25385,3.97093,8.55355,4.83104
,,,7.25966,3.96687,8.56186,4.82998
,,,7.26547,3.96281,8.57017,4.82891
,,,7.27127,3.95875,8.57848,4.82785
,,,7.27708,3.95469,8.58679,4.82678
,,,7.28288,3.95063,8.5951,4.82572
,,,7.28869,3.94657,8.6034,4.82465
,,,7.29449,3.94251,8.61171,4.82359
,,,7.3003,3.93845,8.62002,4.82252
,,,7.30611,3.93439,8.62833,4.82145
,,,7.31191,3.93033,8.63664,4.82039
,,,7.31772,3.92627,8.64494,4.81932
,,,7.32352,3.92221,8.65325,4.81826
,,,7.32933,3.91815,8.66156,4.81719
,,,7.33514,3.91408,8.66987,4.81613
,,,7.34094,3.91002,8.67818,4.81506
,,,7.34675,3.90596,8.68649,4.814
,,,7.35255,3.9019,8.69479,4.81293
,,,7.35836,3.89784,8.7031,4.81187
,,,7.36416,3.89378,8.71141,4.8108
,,,7.36997,3.88972,8.71972,4.80973
,,,7.37578,3.88566,8.72803,4.80867
,,,7.38158,3.8816,8.73634,4.8076
,,,7.38739,3.87754,8.74464,4.80654
,,,7.39319,3.87348,8.75295,4.80547
,,,7.399,3.86942,8.76126,4.80441
,,,7.4048,3.86536,8.76957,4.80334
,,,7.41061,3.8613,8.77788,4.80228
,,,7.41642,3.85724,8.78619,4.80121
,,,7.42222,3.85318,8.79449,4.80014
,,,7.42803,3.84912,8.8028,4.79908
,,,7.43383,3.84506,8.81111,4.79801
,,,7.43964,3.841,8.81942,4.79695
,,,7.44545,3.83694,8.82773,4.79588
,,,7.45125,3.83288,8.83604,4.79482
,,,7.45706,3.82882,8.84434,4.79375
,,,7.46286,3.82476,8.85265,4.79269
,,,7.46867,3.8207,8.86096,4.79162
,,,7.47447,3.81664,8.86927,4.79055
,,,7.48028,3.81258,8.87758,4.78949
,,,7.48609,3.80852,8.88589,4.78842
,,,7.49189,3.80446,8.89419,4.78736
,,,7.4977,3.8004,8.9025,4.78629
,,,7.5035,3.79634,8.91081,4.78523
,,,7.50931,3.79228,8.91912,4.78416
,,,7.51512,3.78822,8.92743,4.7831
,,,7.52092,3.78415,8.93574,4.78203
,,,7.52673,3.78009,8.94404,4.78096
,,,7.53253,3.77603,8.95235,4.7799
,,,7.53834,3.77197,8.96066,4.77883
,,,7.54414,3.76791,8.96897,4.77777
,,,7.54995,3.76385,8.97728,4.7767
,,,7.55576,3.75979,8.98559,4.77564
,,,7.56156,3.75573,8.99389,4.77457
,,,7.56737,3.75167,9.0022,4.77351
,,,7.57317,3.74761,9.01051,4.77244
,,,7.57898,3.74355,9.01882,4.77138
,,,7.58478,3.73949,9.02713,4.77031
,,,7.59059,3.73543,9.03544,4.76924
,,,7.5964,3.73137,9.04374,4.76818
,,,7.6022,3.72731,9.05205,4.76711
,,,7.60801,3.72325,9.06036,4.76605
,,,7.61381,3.71919,9.06867,4.76498
,,,7.61962,3.71513,9.07698,4.76392
,,,7.62543,3.71107,9.08529,4.76285
,,,7.63123,3.70701,9.09359,4.76179
